                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.5364,                 1.0311,                0.91772,                0.68495,                0.52629,                0.58417,                0.38974,                 1.5438,                 1.0333,                0.92199,             0.00039008,             0.00039008,             0.00039008
                     71,                 1.5932,                 1.0607,                0.92504,                0.64637,                  0.523,                 0.5774,                0.38102,                  1.558,                 1.0367,                0.92211,             0.00038717,             0.00038717,             0.00038717
                     72,                 1.5661,                 1.0532,                0.91847,                0.64538,                0.52396,                0.57785,                0.37953,                 1.5659,                 1.0573,                0.92303,             0.00038426,             0.00038426,             0.00038426
                     73,                 1.5518,                 1.0482,                0.91611,                0.63427,                0.52024,                0.57843,                0.37894,                 1.6036,                 1.0835,                0.93476,             0.00038135,             0.00038135,             0.00038135
                     74,                 1.5531,                 1.0354,                0.91464,                 0.6604,                 0.5295,                0.57446,                 0.3826,                 1.5702,                 1.0401,                0.92119,             0.00037844,             0.00037844,             0.00037844
                     75,                 1.5548,                  1.042,                0.91476,                0.67666,                0.47658,                0.55323,                0.37468,                 1.5532,                 1.0533,                0.91941,             0.00037553,             0.00037553,             0.00037553
                     76,                 1.5423,                  1.027,                0.90918,                0.65391,                0.54297,                0.59078,                0.39357,                 1.5384,                 1.0163,                0.91643,             0.00037262,             0.00037262,             0.00037262
                     77,                 1.5222,                 1.0183,                0.91285,                0.66235,                0.52694,                0.57956,                0.38782,                 1.5308,                 1.0359,                 0.9184,             0.00036971,             0.00036971,             0.00036971
                     78,                 1.5241,                  1.013,                0.91447,                0.67763,                0.52203,                0.57829,                0.37802,                 1.5756,                 1.0252,                0.92303,             0.00036679,             0.00036679,             0.00036679
                     79,                 1.5503,                  1.038,                0.91467,                0.66219,                0.54173,                0.59289,                0.38962,                 1.5355,                 1.0273,                 0.9221,             0.00036388,             0.00036388,             0.00036388
                     80,                 1.5388,                 1.0314,                0.91639,                0.68763,                0.52814,                0.58639,                0.38649,                 1.5486,                 1.0499,                 0.9217,             0.00036097,             0.00036097,             0.00036097
                     81,                 1.5359,                 1.0184,                0.91498,                0.68228,                0.52524,                0.57325,                0.38679,                 1.5377,                 1.0542,                0.91832,             0.00035806,             0.00035806,             0.00035806
