                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.4896,                 1.0106,                0.92079,                0.77463,                0.62134,                0.69088,                 0.4994,                 1.4297,                0.93467,                 0.9257,             0.00013977,             0.00013977,             0.00013977
                     80,                 1.4542,                0.98425,                0.91683,                0.70558,                 0.6437,                0.68246,                0.48726,                 1.4386,                0.95026,                0.92967,             0.00013395,             0.00013395,             0.00013395
                     81,                  1.441,                0.96984,                0.91248,                0.75502,                0.62706,                0.69331,                0.50073,                 1.4305,                0.93504,                0.92579,             0.00012813,             0.00012813,             0.00012813
                     82,                 1.4534,                0.97415,                0.90876,                0.75017,                0.61801,                 0.6851,                0.48486,                 1.4488,                0.95184,                0.93088,              0.0001223,              0.0001223,              0.0001223
                     83,                 1.4857,                0.99772,                0.91567,                0.77708,                0.62564,                0.68869,                0.49023,                 1.4484,                0.94003,                0.92953,             0.00011648,             0.00011648,             0.00011648
                     84,                 1.4624,                0.97201,                0.91518,                0.78017,                0.63394,                0.70563,                0.50599,                 1.4308,                0.93634,                0.92604,             0.00011066,             0.00011066,             0.00011066
                     85,                 1.4421,                0.95476,                0.90895,                 0.7288,                0.64571,                0.70093,                0.50149,                 1.4273,                0.94192,                0.92542,             0.00010484,             0.00010484,             0.00010484
                     86,                 1.4428,                0.95449,                0.90806,                 0.7549,                0.64772,                0.70387,                0.50971,                 1.4161,                0.93192,                0.92386,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                 1.4429,                0.96443,                0.91077,                0.78883,                0.62959,                0.70431,                0.50227,                 1.4395,                0.92625,                0.92637,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                 1.4379,                 0.9628,                 0.9075,                 0.7902,                0.64406,                0.71237,                0.51229,                 1.4202,                0.93072,                0.92439,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     89,                 1.4509,                0.96569,                0.90985,                0.78897,                 0.6357,                0.70465,                0.50037,                 1.4304,                 0.9261,                0.92529,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                 1.4606,                0.96204,                0.91044,                0.79411,                0.64328,                0.70992,                0.51313,                 1.4151,                0.92027,                 0.9231,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                 1.5233,                 1.0846,                0.92281,                0.74309,                0.64501,                0.69014,                0.50333,                 1.4297,                0.94937,                0.92593,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                 1.4704,                 1.0005,                0.91732,                0.75612,                0.63771,                0.69712,                0.49984,                 1.4439,                0.97166,                0.93207,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                 1.4657,                0.97996,                0.91477,                0.76581,                0.63453,                0.70394,                0.50339,                 1.4296,                0.96032,                0.92677,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                 1.4409,                0.96361,                0.91155,                0.78441,                0.63934,                0.71412,                 0.5178,                 1.4181,                 0.9394,                0.92556,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                 1.4379,                0.95924,                0.90625,                0.78334,                0.63303,                0.71172,                0.51743,                 1.4119,                 0.9357,                0.92372,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                 1.4573,                0.96164,                0.91255,                 0.7648,                0.64333,                0.70994,                0.50444,                 1.4504,                0.94535,                0.93211,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                 1.4416,                0.95466,                0.90625,                0.76581,                0.64925,                0.71326,                0.51315,                 1.4154,                0.93019,                0.92279,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                 1.4301,                 0.9445,                0.90597,                0.77995,                0.65767,                0.71408,                0.51491,                 1.4113,                0.92549,                0.92282,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                 1.4357,                0.94067,                0.90971,                0.77095,                 0.6526,                0.71293,                0.51168,                 1.4203,                0.92357,                0.92338,             2.3344e-05,             2.3344e-05,             2.3344e-05
                    100,                  1.426,                0.93161,                0.91111,                0.77723,                0.64967,                0.71707,                0.51917,                 1.4076,                0.91779,                0.92145,             1.7522e-05,             1.7522e-05,             1.7522e-05
